"","month","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun","sat_alt","sun_alt","avg_wkdayholminor_tstile","avg_satholmajor_tstile","avg_sun_tstile","real_fare","man_hud_KEEP","man_hud_opt","man_hud_pess","population_hud_opt","population_hud_pess","real_fare_q1_KEEP","pop_hudson_KEEP"
"81",2006-09-01,22,5,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3193.851198,3217.783266,3101.294837,754.202452,754.202452,2.75,748.2908501
"82",2006-10-01,22,5,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3212.621447,3238.887756,3119.521133,756.3894239,756.3894239,2.75,749.462779
"83",2006-11-01,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,266352.3132,112571.4559,72218,1.46031961,2529.281486,2529.263855,2529.281486,612.9072349,612.9072349,1.521801934,612.9072299
"84",2006-12-01,20,6,4,20,6,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,196112.1782,80549.23924,63770,2.153154952,2386.687017,2386.669636,2386.687017,616.7043437,616.7043437,2.239843407,616.7043757
"85",2007-01-01,19,7,4,19,7,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,168713,83538,61843,83538,61843,167672.483,82316.11755,61844,2.090809204,2345.31902,2345.302461,2345.31902,615.9375347,615.9375347,2.169024196,615.9375334
"86",2007-02-01,18,7,5,18,7,5,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,163070,86242,62725,86242,62725,161795.4444,88218.71429,62725,2.027896189,2321.919992,2321.909177,2321.919992,615.3525226,615.3525226,2.105615631,615.3524807
"87",2007-03-01,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,196542,89946,64852,89946,64852,195030.15,91410.66667,64852,1.951556467,2335.024696,2335.01422,2335.024696,615.1408157,615.1408157,2.022932054,615.1408261
"88",2007-04-01,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,214737.21,93767.75,70049.57,93767.75,70049.57,213309.3,92866.83333,70244.25,1.87813516,2383.794952,2383.777352,2383.794952,614.7937069,614.7937069,1.950451324,614.7936988
"89",2007-05-01,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,238040,110225.5,78840,110225.5,78840,237786.4,108317.1667,78996.25,1.830522861,2431.243459,2431.22559,2431.243459,614.1452558,614.1452558,1.898944912,614.1452628
"90",2007-06-01,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,249638,107059,82364.43,107059,82364.43,247588.15,109267.3333,83149,1.761897396,2484.699302,2484.676505,2484.699302,616.225576,616.225576,1.830303719,616.2255774
"91",2007-07-01,18,7,5,18,7,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,254777,109518,80642,109518,80642,253023.8889,111043.2857,80642,2.011770889,2448.20059,2448.185132,2448.20059,623.1257135,623.1257135,2.09323777,623.1256937
"92",2007-08-01,19,6,5,19,6,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,250266,109291,89116,109291,89116,248541.1053,109985.1667,89118,1.975718976,2361.161513,2361.155842,2361.161513,631.515432,631.515432,2.055714298,631.515443
"93",2007-09-01,20,6,4,21,5,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,254552.9,117790.5,90011,120048,116412,254552.9,117790.5,90011,1.949728261,2404.112664,2404.12043,2404.112664,639.4753929,639.4753929,2.024646187,639.4753942
"94",2007-10-01,20,6,4,21,5,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,262479.45,123986,95457.25,123234,123865,262479.45,123986,95457.25,2.162507972,2470.5489,2470.594682,2470.5489,648.3192146,648.3192146,2.251353336,648.3192048
