"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"Jun 2025",2937.45506506802,313.050662870115,710.069183831487,2916.79459461937,280.308397792092,9553.73403908676,2025-06-01
"Jul 2025",2938.313542,313.6260492,710.4758573,2917.048788,280.786,9556.792,2025-07-01
"Aug 2025",2939.18121496161,314.229912809702,710.877466515074,2917.34368786454,281.26140674254,9559.77000990952,2025-08-01
"Sep 2025",2940.05326699091,314.839765255949,711.276138837692,2917.66066727604,281.734782350885,9562.69778076051,2025-09-01
"Oct 2025",2940.923351,315.4252089,711.6748592,2917.966966,282.207,9565.635,2025-10-01
"Nov 2025",2941.78975327037,315.966091535282,712.075993269459,2918.24397236855,282.678805570717,9568.62827275948,2025-11-01
"Dec 2025",2942.66929356095,316.483242683871,712.479429654784,2918.52966898019,283.150435767332,9571.67187490825,2025-12-01
"Jan 2026",2943.583425,317.0077373,712.8844377,2918.876187,283.622,9574.747,2026-01-01
"Feb 2026",2944.54804210505,317.562330363982,713.290356095976,2919.32022343903,284.093815419033,9577.84812127475,2026-02-01
"Mar 2026",2945.5568049505,318.136496960423,713.69680092095,2919.83673869211,284.567030135346,9581.02283071763,2026-03-01
"Apr 2026",2946.597815,318.7113922,714.1034576,2920.385259,285.043,9584.332,2026-04-01
"May 2026",2947.65933516129,319.274428038417,714.50977483182,2920.93425324569,285.52252534574,9587.80794584519,2026-05-01
"Jun 2026",2948.73027411854,319.838043811476,714.914254409564,2921.48796088101,286.004184432028,9591.36876518422,2026-06-01
"Jul 2026",2949.799702,320.4209357,715.3151614,2922.059564,286.486,9594.904,2026-07-01
"Aug 2026",2950.86003162014,321.033426108274,715.711518936003,2922.66037187449,286.966342457262,9598.33246571483,2026-08-01
"Sep 2026",2951.9170465383,321.652342334417,716.105382414869,2923.29420248754,287.444972877285,9601.69007150847,2026-09-01
"Oct 2026",2952.979873,322.2461379,716.4995653,2923.963001,287.922,9605.042,2026-10-01
"Nov 2026",2954.05655128405,322.793983872928,716.896307535279,2924.66697999708,288.397771491874,9608.44237648064,2026-11-01
"Dec 2026",2955.15077780234,323.317921506415,717.295554986516,2925.39942176142,288.873590725501,9611.90109693006,2026-12-01
"Jan 2027",2956.265163,323.8507096,717.69668,2926.151876,289.351,9615.417,2027-01-01
"Feb 2027",2957.40149928067,324.416257281494,718.099076174731,2926.92088106311,289.831275278942,9618.98450984406,2027-02-01
"Mar 2027",2958.55830688198,325.003074991779,718.502222120549,2927.72292987419,290.314627183678,9622.58039262315,2027-03-01
"Apr 2027",2959.733288,325.5908235,718.9056177,2928.579504,290.801,9626.177,2027-04-01
"May 2027",2960.92395896361,326.165856941833,719.308457347277,2929.50164200975,291.290164429392,9629.75139895792,2027-05-01
"Jun 2027",2962.12709263273,326.741302919064,719.708713783142,2930.45861048256,291.781196836086,9633.29951776253,2027-06-01
"Jul 2027",2963.339276,327.3369824,720.1040543,2931.409233,292.273,9636.822,2027-07-01
"Aug 2027",2964.55868401301,327.964004773391,720.493137873198,2932.33402078677,292.764622559044,9640.32341284276,2027-08-01
"Sep 2027",2965.78984343897,328.598633109745,720.878590209848,2933.30023564002,293.255696583091,9643.82401780821,2027-09-01
"Oct 2027",2967.038869,329.2084189,721.2640287,2934.396827,293.746,9647.348,2027-10-01
"Nov 2027",2968.31090391026,329.77164341645,721.652333967337,2935.68005736167,294.235345334429,9650.91450522659,2027-11-01
"Dec 2027",2969.60720535213,330.309507056775,722.043439570061,2937.07544143884,294.723683498219,9654.52252211575,2027-12-01
"Jan 2028",2970.928059,330.85394,722.4365423,2938.475807,295.211,9658.166,2028-01-01
"Feb 2028",2972.27327016075,331.428426394139,722.830865650044,2939.80081706282,295.697625732866,9661.83793662122,2028-02-01
"Mar 2028",2973.64072267105,332.022666263157,723.225739917318,2941.07747564165,296.185273127739,9665.52752335845,2028-03-01
"Apr 2028",2975.02782,332.6179136,723.6205221,2942.359622,296.676,9669.223,2028-04-01
"May 2028",2976.43201418747,333.201851321805,724.01432626952,2943.69029301667,297.171262845217,9672.91348902925,2028-05-01
"Jun 2028",2977.85095155629,333.787878042452,724.405294790299,2945.06931603159,297.670112879715,9676.59164370973,2028-06-01
"Jul 2028",2979.282327,334.3958213,724.7913271,2946.485716,298.171,9680.251,2028-07-01
"Aug 2028",2980.72632931157,335.036518485304,725.171268264465,2947.9304464631,298.672433997374,9683.89347763213,2028-08-01
