"","month","week_avg","sat_avg","sun_avg","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun"
"121",2029-09-01,318247.951188216,150857.971065094,112832.560396591,19,6,5,19,5,6,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6046711.0725761,754289.855325471,676995.362379544
"122",2029-10-01,316384.770150125,154641.483795221,110173.94773657,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6960464.94330274,618565.935180882,550869.738682851
"123",2029-11-01,310476.986841803,149212.486744242,106435.417578177,20,6,4,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5899062.74999426,596849.946976968,745047.923047238
"124",2029-12-01,300875.751242208,149423.154405479,108603.225871654,20,6,5,20,5,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6017515.02484416,747115.772027395,651619.355229924
"125",2030-01-01,299651.150253819,134846.951287138,92555.2317140909,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6292674.1553302,539387.805148554,555331.390284545
"126",2030-02-01,305011.991152018,141749.77910324,98016.5597811404,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5795227.83188834,566999.11641296,490082.798905702
"127",2030-03-01,307838.065855014,155497.077261372,100872.34221327,21,5,5,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6464599.38295529,777485.386306862,504361.711066349
"128",2030-04-01,313465.899953818,157714.518860085,107044.562542347,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6896249.798984,630858.075440341,428178.250169387
"129",2030-05-01,316418.140272047,149793.073182174,111697.159643172,22,5,4,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6961199.08598503,599172.292728698,558485.798215859
"130",2030-06-01,319919.144693903,156994.025469618,117244.194674181,20,5,5,20,5,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6398382.89387806,784970.127348091,586220.973370907
